Name,Last Notice,Total Shares,Shares Held (%),Ticker
State Street Corporation and subsidiaries,21/3/2025,5335836,5.4,MND
Vanguard Group,20/12/2024,6037462,6.11,MND
Mr S Leung Kwok Yin,14/3/2024,28405454,20.84,MSI
Mr Siu Wai Yan,14/3/2024,34567498,25.36,MSI
Vanguard Group,7/3/2025,28251449,6.18,NWH
State Street Corporation and subsidiaries,21/1/2025,27710280,6.06,NWH
Australian Retirement Trust Pty Ltd,26/3/2025,22995770,5.03,NWH
Clear Port Aus Pty Ltd,23/9/2024,11764654,5.55,OLH
Williams Lewis Timms,23/9/2024,39173778,18.47,OLH
EQM Holdings Pty Ltd,23/9/2024,85530329,40.33,OLH
EQM Holdings Pty Ltd,23/9/2024,22338461,10.53,OLH
Mark Edward Waller,11/2/2025,64288002,8.53,1CG
Citicorp Nominees Pty Limited,5/7/2024,15869287,10.9,OEC
UIL Limited,5/7/2024,45278204,31.1,OEC
Utilico Investments Ltd,12/12/2024,54312449,33.05,OEC
Boneyard Investments Pty Ltd,12/12/2024,28439941,17.36,OEC
Malcolm Alistair Duncan,30/8/2024,70507950,5.1,RFT
Pudu Investment (Australia) Pty Ltd,30/8/2024,224643616,16.25,RFT
BNP Paribas Nominees Pty Ltd,30/8/2024,90994423,6.58,RFT
Yung Shing,30/8/2024,150000000,10.85,RFT
Yanbin Wang,30/8/2024,70000000,5.06,RFT
Claudia Walters,13/8/2024,41869854,7.97,RDX
Catherine Coneliano,13/8/2024,31122954,5.93,RDX
Robert Coneliano,13/8/2024,53157673,10.12,RDX
Richard Coneliano,13/8/2024,70492961,13.43,RDX
Renato Coneliano,13/8/2024,32048549,6.1,RDX
FIL Limited and the entities,4/3/2025,33745059,6.43,RDX
Bruce Walter Campbell Wilson,2/8/2024,334665823,51.8,REH
John Gay Wilson,2/8/2024,363013785,56.04,REH
Wilaust Holdings Pty Ltd,2/8/2024,313050000,48.46,REH
Two Hills Holdings Pty Ltd and each of its parties,2/8/2024,120168788,18.6,REH
Australiansuper Pty Ltd,2/8/2024,47545591,7.36,REH
Leslie Alan Wilson,2/8/2024,359709180,55.7,REH
FIL Limited,1/8/2024,43508324,5.51,RWC
Aware Super Pty Ltd,1/8/2024,67762867,8.58,RWC
The Vanguard GroupInc,1/8/2024,39515562,5,RWC
State Street Corporation and subsidiaries,7/11/2024,47114867,6.04,RWC
Australiansuper Pty Ltd,11/10/2024,85356679,10.94,RWC
