Date,Name,Bought,Previous %,New %,Ticker
19-03-25,Perpetual Limited and subsidiaries,2885216,16.27,17.36,GWA
18-11-24,The Vanguard GroupInc,13315278,--,5.02,GWA
23-10-24,Mitsubishi UFJ Financial Group Inc.,13271115,--,5.00,GWA
23-10-24,First Sentier Investors Holdings Pty Limited,13271115,--,5.00,GWA
28-06-24,Perpetual Limited and subsidiaries,2709902,15.25,16.27,GWA
17-05-24,Perpetual Limited and subsidiaries,3575406,13.90,15.25,GWA
30-04-25,Perennial Value Management Limited,17083424,10.34,12.27,HNG
17-04-25,AD and MP Beard,5100000,8.64,6.85,HNG
17-04-25,H&G High Conviction Limited,63688260,--,11.70,HNG
04-02-25,Perennial Value Management Limited,5437151,9.28,10.34,HNG
11-10-24,James Family Investments Ltd,68000777,--,14.26,HNG
11-10-24,Perennial Value Management Limited,12359582,10.64,9.28,HNG
12-09-24,AD and MP Beard,200000,10.67,8.64,HNG
28-06-24,Perennial Value Management Limited,5776174,9.62,10.64,HNG
21-06-24,Robert William Bentley Morrison,47161034,--,5.04,IFT
07-06-24,Comet Resources Limited,7223681,24.2,16.9,IG6
23-01-25,MA Financial Group Limited,1423040,8.54,9.91,IPG
02-12-24,Greencape Capital Pty Ltd,5312843,--,5.12,IPG
02-12-24,Challenger Limited,5312843,--,5.12,IPG
25-11-24,MA Financial Group Limited,5702984,--,5.50,IPG
25-11-24,MA Financial Group Limited,3150000,5.50,8.54,IPG
18-11-24,Platypus Asset Management,5538634,--,5.34,IPG
02-10-24,QVG Capital Pty Ltd,5620250,--,5.42,IPG
28-04-25,State Street Corporation and subsidiaries,15389208,--,5.44,JLG
22-04-25,State Street Corporation and subsidiaries,14949425,--,5.28,JLG
16-04-25,JPmorgan Chase & Co. and its affiliates,14860566,--,5.25,JLG
15-04-25,State Street Corporation and subsidiaries,15749282,--,5.56,JLG
03-04-25,State Street Corporation and subsidiaries,16714501,--,5.90,JLG
31-03-25,State Street Corporation and subsidiaries,14418450,--,5.09,JLG
20-03-25,Citigroup Global Markets Australia Pty Limited,14691818,--,5.19,JLG
06-03-25,JPmorgan Chase & Co. and its affiliates,14220977,--,5.02,JLG
06-03-25,State Street Corporation and subsidiaries,14792800,--,5.23,JLG
27-02-25,The Capital Group Companies Inc.,1589029,7.85,6.82,JLG
18-02-25,State Street Corporation and subsidiaries,14304408,--,5.08,JLG
30-01-25,UBS Group AG and its related bodies corporate,17116497,--,6.08,JLG
21-01-25,Australiansuper Pty Ltd,14418130,--,5.12,JLG
03-01-25,JPmorgan Chase & Co. and its affiliates,2914456,5.01,6.05,JLG
03-12-24,JPmorgan Chase & Co. and its affiliates,14106532,--,5.01,JLG
23-09-24,Fisher Funds Management Limited,3066071,6.49,7.59,JLG
29-08-24,Fisher Funds Management Limited,4060212,5.03,6.49,JLG
27-08-24,Fisher Funds Management Limited,14020322,--,5.03,JLG
08-11-24,Perpetual Limited and subsidiaries,588266,--,5.01,KOV
31-10-24,PPK Aust. Pty Ltd,69613628,50.1,39.2,LIS
22-08-24,Wesley Jon Maas,16294836,58.7,53.4,MGH
17-04-25,Naos Asset Management Limited,1085337,19.90,21.76,MXI
05-09-24,Naos Asset Management Limited,2281993,15.77,19.90,MXI
30-05-24,Perpetual Limited and subsidiaries,834387,11.06,12.57,MXI
17-05-24,Perpetual Limited and subsidiaries,635093,9.93,11.06,MXI
06-03-25,Maybank Securities Pte. Ltd,10000000,--,7.18,MPW
28-02-25,John Barnes,19267133,--,13.83,MPW
24-09-24,Takutai Limited,46566659,--,25.12,MPP
16-04-25,BlackRock Group,4961169,--,5.01,MND
21-03-25,State Street Corporation and subsidiaries,5335836,--,5.40,MND
19-03-25,State Street Corporation and subsidiaries,5011202,--,5.08,MND
11-03-25,State Street Corporation and subsidiaries,4989950,--,5.05,MND
27-02-25,State Street Corporation and subsidiaries,4941413,--,5.00,MND
20-12-24,Vanguard Group,1186498,5.04,6.11,MND
30-09-24,BlackRock Group,4941769,--,5.02,MND
26-09-24,BlackRock Group,4914673,--,5.00,MND
19-09-24,BlackRock Group,4913895,--,5.00,MND
09-09-24,BlackRock Group,4914089,--,5.00,MND
26-03-25,Australian Retirement Trust Pty Ltd,22995770,--,5.03,NWH
07-03-25,Vanguard Group,4994921,5.18,6.18,NWH
21-01-25,State Street Corporation and subsidiaries,4760206,5.02,6.06,NWH
07-11-24,Australian Retirement Trust Pty Ltd,5490427,5.00,6.16,NWH
05-11-24,State Street Corporation and subsidiaries,22950074,--,5.02,NWH
21-10-24,State Street Corporation and subsidiaries,23153865,--,5.06,NWH
15-10-24,State Street Corporation and subsidiaries,22885927,--,5.01,NWH
03-10-24,State Street Corporation and subsidiaries,23303364,--,5.10,NWH
16-09-24,State Street Corporation and subsidiaries,23561779,--,5.18,NWH
12-09-24,State Street Corporation and subsidiaries,24550727,--,5.39,NWH
09-09-24,State Street Corporation and subsidiaries,22799881,--,5.01,NWH
04-09-24,State Street Corporation and subsidiaries,22848225,--,5.02,NWH
30-07-24,Clear Port Aus Pty Ltd,11731751,--,5.53,OLH
12-12-24,Utilico Investments Ltd,9024770,31.06,33.05,OEC
12-12-24,Boneyard Investments Pty Ltd,6054016,16.13,17.36,OEC
17-06-24,Macquarie Group Limited,7826257,--,5.36,OEC
04-03-25,FIL Limited and the entities,7449087,5.01,6.43,RDX
11-09-24,FIL Limited and the entities,26295972,--,5.01,RDX
07-11-24,State Street Corporation and subsidiaries,7589073,5.03,6.04,RWC
11-10-24,Australiansuper Pty Ltd,7138340,9.90,10.94,RWC
02-08-24,State Street Corporation and subsidiaries,39525794,--,5.03,RWC
16-05-24,Valrich Superannuation Pty Ltd,12500000,12.43,17.28,REM
02-03-25,Ahrens Group Pty Ltd,2500000,5.34,7.25,SND
02-12-24,Ahrens Group Pty Ltd,6333000,--,5.34,SND
19-09-24,Timothy Burnett,11686311,--,10.65,SND
16-04-25,Mitsubishi UFJ Financial Group Inc,31173544,--,5.06,SSM
11-04-25,Vanguard Group,31124407,--,5.05,SSM
31-03-25,Australian Retirement Trust Pty Ltd,32124918,--,5.21,SSM
05-03-25,Vanguard Group,30813671,--,5.00,SSM
23-09-24,Pinnacle Investment Management Group Limited,31245880,--,5.07,SSM
22-08-24,Wilson Asset Management Group,7144794,5.19,6.35,SSM
02-07-24,Dimensional Entities,30808331,--,5.00,SSM
05-06-24,Wilson Asset Management Group,31971847,--,5.19,SSM
06-08-24,Australiansuper Pty Ltd,20375267,--,5.01,SGH
09-05-24,Australiansuper Pty Ltd,19143893,--,5.01,SGH
28-11-24,Stephen McDonald,1002433,6.99,5.77,SHA
20-11-24,Gerard McMahon,1144058,10.10,8.74,SHA
31-10-24,John Darryl Drayton,1191954,13.59,12.12,SHA
02-10-24,Michael van Leeuwen,1199181,16.41,14.97,SHA
24-09-24,Tim Campbell,4875825,5.86,--,SHA
23-09-24,Gerard McMahon,1295747,11.70,10.10,SHA
23-09-24,Josephine Hynes,4585623,5.51,--,SHA
04-07-24,Michael van Leeuwen,1083631,17.76,16.41,SHA
14-03-25,Matthew Jinks,1000000,18.77,19.48,SKS
05-12-24,Greg Jinks,7533525,10.81,12.99,SKS
28-06-24,Matthew Jinks,23936598,--,21.41,SKS
21-08-24,TIGA Trading Pty Ltd,3164045,15.66,14.4,SXE
21-08-24,Thorney Opportunities Ltd,3164045,15.66,14.4,SXE
20-06-24,Superannuation and Investments HoldCo Pty Ltd,16409623,6.24,--,SXE
20-06-24,Comet Asia Holdings II Pte Ltd,16409623,6.24,--,SXE
20-06-24,Commonwealth Bank of Australia,16409623,6.24,--,SXE
17-06-24,Mitsubishi UFJ Financial Group Inc.,16677193,6.34,--,SXE
17-06-24,First Sentier Investors Holdings Pty Limited,16677193,6.34,--,SXE
11-04-25,Vanguard Group,30288197,--,5.01,SRG
21-03-25,Citigroup Global Markets Australia Pty Limited,37068546,--,6.14,SRG
14-06-24,JES Investment Trust,5777961,--,5.01,SGI
14-06-24,Michael Reginald Doust,8666942,--,7.51,SGI
21-11-24,Andrew Fairbairn,36714891,--,15.55,SYL
21-11-24,Joseph Bartolo,73429782,--,31.02,SYL
21-11-24,Raymond Dando,36714891,--,15.55,SYL
20-09-24,Perennial Value Management Limited,1668850,13.74,14.97,VEE
12-07-24,Perennial Value Management Limited,1368657,12.73,13.74,VEE
12-06-24,Perennial Value Management Limited,1448006,11.66,12.73,VEE
10-05-24,Perennial Value Management Limited,1374294,10.65,11.66,VEE
23-04-25,Northcape Capital Pty Ltd,42183233,--,5.00,VNT
