Info Date,Ticker,Company,Sector,Market Cap,Shares Outstanding,Open,Close,Volume,Change (%)
2025-04-15,CMD,Cassius Mining Ltd,Materials,10272711.92,642044495.0,0.016,0.016,0.0,0.0
2025-04-15,SVG,Savannah Goldfields Ltd,Materials,10265232.62,641577039.0,0.014,0.016,57676.0,14.29
2025-04-15,SCN,Scorpion Minerals Ltd,Materials,10234123.84,511706192.0,0.02,0.02,0.0,0.0
2025-04-15,GAS,State GAS Ltd,Energy,10207622.59,392600869.0,0.026,0.026,155928.0,0.0
2025-04-15,MPP,Metro Performance Glass Ltd,Capital Goods,10195794.73,185378086.0,0.055,0.055,17500.0,0.0
2025-04-15,MCO,Myeco Group Ltd,Materials,10142370.46,596610027.0,0.017,0.017,0.0,0.0
2025-04-15,PNM,Pacific Nickel Mines Ltd,Materials,10103834.52,420993105.0,0.024,0.024,0.0,0.0
2025-04-15,CMG,Critical Minerals Group Ltd,Materials,10085234.88,72037392.0,0.14,0.14,22.0,0.0
2025-04-15,WHK,Whitehawk Ltd,Software & Services,10074543.68,719610263.0,0.016,0.014,15646148.0,-12.5
2025-04-15,NRX,Noronex Ltd,Materials,10028133.85,557118547.0,0.017,0.018,715508.0,5.88
2025-04-15,NHE,Noble Helium Ltd,Energy,10014179.38,589069375.0,0.017,0.017,253827.0,0.0
2025-04-15,ABX,ABX Group Ltd,Materials,10011737.56,250293439.0,0.04,0.04,267699.0,0.0
2025-04-15,EVR,EV Resources Ltd,Materials,9929183.38,1985836676.0,0.005,0.005,150000.0,0.0
2025-04-15,AGH,Althea Group Holdings Ltd,"Pharmaceuticals, Biotechnology & Life Sciences",9914896.84,521836676.0,0.022,0.019,1517104.0,-13.64
2025-04-15,ASP,Aspermont Ltd,Media & Entertainment,9880046.46,2470011615.0,0.004,0.004,133462.0,0.0
2025-04-15,CRR,Critical Resources Ltd,Materials,9856884.99,2464221247.0,0.004,0.004,5129359.0,0.0
2025-04-15,GML,Gateway Mining Ltd,Materials,9811687.08,408820295.0,0.024,0.024,35077.0,0.0
2025-04-15,CC9,Chariot Corporation Ltd,Materials,9787009.06,119353769.0,0.083,0.082,12582.0,-1.2
2025-04-15,ILT,Iltani Resources Ltd,Materials,9760882.12,44367646.0,0.215,0.22,10053.0,2.33
2025-04-15,BPH,BPH Energy Ltd,Financial Services,9745862.53,1218232816.0,0.01,0.008,1618556.0,-20.0
2025-04-15,KBC,Keybridge Capital Ltd,Financial Services,9744878.29,207337836.0,0.047,0.047,0.0,0.0
2025-04-15,EG1,Evergreen Lithium Ltd,Materials,9728915.0,194578300.0,0.051,0.05,306476.0,-1.96
2025-04-15,FRS,Forrestania Resources Ltd,Materials,9710814.98,262454459.0,0.036,0.037,1758379.0,2.78
2025-04-15,CI1,Credit Intelligence Ltd,Commercial & Professional Services,9684973.21,88045211.0,0.11,0.11,0.0,0.0
2025-04-15,SFG,Seafarms Group Ltd,"Food, Beverage & Tobacco",9673198.36,4836599179.0,0.002,0.002,882083.0,0.0
2025-04-15,AJL,AJ Lucas Group Ltd,Capital Goods,9630107.41,1375729630.0,0.006,0.007,2177146.0,16.67
2025-04-15,GW1,Greenwing Resources Ltd,Materials,9626059.28,240651482.0,0.04,0.04,23296.0,0.0
2025-04-15,GMN,Gold Mountain Ltd,Materials,9591959.88,4795979940.0,0.002,0.002,343857.0,0.0
2025-04-15,TMS,Tennant Minerals Ltd,Materials,9558904.15,955890415.0,0.01,0.01,344246.0,0.0
2025-04-15,RAG,Ragnar Metals Ltd,Materials,9479719.56,473985978.0,0.021,0.02,217485.0,-4.76
2025-04-15,TNY,Tinybeans Group Ltd,Media & Entertainment,9466268.03,147910438.0,0.064,0.064,0.0,0.0
2025-04-15,INF,Infinity Lithium Corporation Ltd,Materials,9451841.86,472592093.0,0.02,0.02,92000.0,0.0
2025-04-15,GBZ,GBM Resources Ltd,Materials,9368559.82,1171069978.0,0.008,0.008,0.0,0.0
2025-04-15,ACR,ACRUX Ltd,"Pharmaceuticals, Biotechnology & Life Sciences",9368249.42,407315192.0,0.024,0.023,77445.0,-4.17
2025-04-15,UWC,Underwood Capital Ltd,Not Applic,9359787.69,207995282.0,0.044,0.045,135514.0,2.27
2025-04-15,NC6,Nanollose Ltd,"Pharmaceuticals, Biotechnology & Life Sciences",9312092.72,232802318.0,0.04,0.04,0.0,0.0
2025-04-15,NSM,North Stawell Minerals Ltd,Materials,9305001.0,273676500.0,0.03,0.034,985641.0,13.33
2025-04-15,VKA,Viking Mines Ltd,Materials,9297031.24,1328147320.0,0.008,0.007,5899758.0,-12.5
2025-04-15,DXN,DXN Ltd,Software & Services,9259812.81,298703639.0,0.031,0.031,4334.0,0.0
2025-04-15,QEM,QEM Ltd,Materials,9160017.02,190833688.0,0.049,0.048,51666.0,-2.04
2025-04-15,5EA,5E Advanced Materials Inc,Materials,9136299.4,14977540.0,0.6,0.61,334.0,1.67
2025-04-15,PVT,Pivotal Metals Ltd,Materials,9072258.75,907225875.0,0.01,0.01,134200.0,0.0
2025-04-15,REM,Remsense Technologies Ltd,Capital Goods,9030635.41,167233989.0,0.053,0.054,98860.0,1.89
2025-04-15,VR8,Vanadium Resources Ltd,Materials,9028669.94,564291871.0,0.016,0.016,243904.0,0.0
2025-04-15,AFT,Afg 2023-1 Trust in Respect of Series 2023-1,Not Applic,9020528.01,9020528009.0,0.001,0.001,0.0,0.0
2025-04-15,GTR,Gti Energy Ltd,Materials,8996848.99,2998949662.0,0.002,0.003,1513496.0,50.0
2025-04-15,RFT,Rectifier Technologies Ltd,Capital Goods,8982895.66,1381983947.0,0.0065,0.0065,0.0,0.0
2025-04-15,CAN,Cann Group Ltd,"Pharmaceuticals, Biotechnology & Life Sciences",8972407.18,560775449.0,0.017,0.016,5199468.0,-5.88
2025-04-15,SP8,Streamplay Studio Ltd,Media & Entertainment,8969551.57,1281364510.0,0.008,0.007,2422618.0,-12.5
2025-04-15,PIL,Peppermint Innovation Ltd,Software & Services,8950557.51,2237639377.0,0.004,0.004,0.0,0.0
2025-04-15,IPC,Imperial Pacific Ltd,Financial Services,8933413.44,5317508.0,1.68,1.68,0.0,0.0
2025-04-15,SSH,SSH Group Ltd,Energy,8896480.16,65899853.0,0.125,0.135,98076.0,8.0
2025-04-15,ITM,Itech Minerals Ltd,Materials,8883440.18,170835388.0,0.05,0.052,428058.0,4.0
2025-04-15,NME,NEX Metals Exploration Ltd,Materials,8840856.56,327439132.0,0.027,0.027,0.0,0.0
2025-04-15,1CG,One Click Group Ltd,Capital Goods,8834099.23,1177879898.0,0.0075,0.0075,83300.0,0.0
2025-04-15,DES,Desoto Resources Ltd,Materials,8795670.0,92586000.0,0.097,0.095,269888.0,-2.06
2025-04-15,AU1,The Agency Group Australia Ltd,Real Estate Management & Development,8791531.78,439576589.0,0.02,0.02,0.0,0.0
2025-04-15,ADV,Ardiden Ltd,Materials,8752450.84,62517506.0,0.14,0.14,50795.0,0.0
2025-04-15,BUS,Bubalus Resources Ltd,Materials,8739671.59,56384978.0,0.165,0.155,169814.0,-6.06
2025-04-15,MRR,Minrex Resources Ltd,Materials,8678940.02,1084867503.0,0.009,0.008,364365.0,-11.11
2025-04-15,ALR,Altair Minerals Ltd,Materials,8593488.37,4296744184.0,0.002,0.002,0.0,0.0
2025-04-15,TAT,Tartana Minerals Ltd,Media & Entertainment,8565835.76,214145894.0,0.04,0.04,12500.0,0.0
2025-04-15,ATV,Activeport Group Ltd,Software & Services,8562213.59,684977087.0,0.013,0.0125,240384.0,-3.85
2025-04-15,CAG,Cape Range Ltd,Software & Services,8541747.09,94908301.0,0.09,0.09,0.0,0.0
2025-04-15,WGR,Western Gold Resources Ltd,Materials,8532227.38,189605053.0,0.05,0.045,500000.0,-10.0
2025-04-15,IG6,International Graphite Ltd,Capital Goods,8516566.52,193558330.0,0.046,0.044,10000.0,-4.35
2025-04-15,SRK,Strike Resources Ltd,Materials,8512500.0,283750000.0,0.03,0.03,300000.0,0.0
2025-04-15,AAU,Antilles Gold Ltd,Materials,8505470.73,2126367683.0,0.004,0.004,330011.0,0.0
2025-04-15,ZMI,ZINC of Ireland NL,Materials,8505160.39,567010693.0,0.015,0.015,340530.0,0.0
2025-04-15,APL,Associate Global Partners Ltd,Financial Services,8473863.9,56492426.0,0.15,0.15,0.0,0.0
2025-04-15,1AI,Algorae Pharmaceuticals Ltd,"Pharmaceuticals, Biotechnology & Life Sciences",8436973.65,1687394731.0,0.005,0.005,0.0,0.0
2025-04-15,VFX,Visionflex Group Ltd,Health Care Equipment & Services,8419651.17,3367860469.0,0.0025,0.0025,150000.0,0.0
2025-04-15,RGL,Riversgold Ltd,Materials,8418562.96,1683712593.0,0.005,0.005,6145000.0,0.0
2025-04-15,HLX,HELIX Resources Ltd,Materials,8410484.21,3364193683.0,0.0025,0.0025,239345.0,0.0
2025-04-15,BMG,BMG Resources Ltd,Materials,8383971.62,838397162.0,0.01,0.01,4946424.0,0.0
2025-04-15,SOC,Soco Corporation Ltd,Software & Services,8361305.46,139355091.0,0.06,0.06,0.0,0.0
2025-04-15,EOF,Ecofibre Ltd,"Pharmaceuticals, Biotechnology & Life Sciences",8335225.84,378873902.0,0.022,0.022,0.0,0.0
2025-04-15,PGY,Pilot Energy Ltd,Energy,8293300.04,1658660009.0,0.005,0.005,0.0,0.0
2025-04-15,EPN,Epsilon Healthcare Ltd,"Pharmaceuticals, Biotechnology & Life Sciences",8288496.26,345354011.0,0.024,0.024,0.0,0.0
2025-04-15,RRR,Revolver Resources Holdings Ltd,Materials,8288227.89,276274263.0,0.03,0.03,947653.0,0.0
2025-04-15,EVG,Evion Group NL,Materials,8263479.45,434919971.0,0.018,0.019,366696.0,5.56
2025-04-15,JCS,Jcurve Solutions Ltd,Software & Services,8258585.98,330343439.0,0.025,0.025,0.0,0.0
2025-04-15,RKT,Rocketdna Ltd,Technology Hardware & Equipment,8239709.14,915523238.0,0.01,0.009,306766.0,-10.0
2025-04-15,NC1,Nico Resources Ltd,Materials,8227543.12,109700575.0,0.075,0.075,2672.0,0.0
2025-04-15,LML,Lincoln Minerals Ltd,Materials,8225038.08,2056259520.0,0.005,0.004,5295988.0,-20.0
2025-04-15,ZAG,Zuleika Gold Ltd,Materials,8160679.2,741879927.0,0.011,0.011,0.0,0.0
2025-04-15,CGR,CGN Resources Ltd,Materials,8079259.0,90778191.0,0.09,0.089,70554.0,-1.11
2025-04-15,MXO,Motio Ltd,Media & Entertainment,8076598.86,278503409.0,0.028,0.029,32258.0,3.57
2025-04-15,1AE,Aurora Energy Metals Ltd,Materials,8057868.17,179063737.0,0.045,0.045,85000.0,0.0
2025-04-15,AD1,Adneo Ltd,Media & Entertainment,8052382.03,146406946.0,0.055,0.055,0.0,0.0
2025-04-15,REY,REY Resources Ltd,Energy,8039314.35,211560904.0,0.038,0.038,0.0,0.0
2025-04-15,AHN,Athena Resources Ltd,Materials,8012805.71,2003201428.0,0.004,0.004,0.0,0.0
2025-04-15,SLM,Solis Minerals Ltd,Materials,7980974.87,98530554.0,0.08,0.081,625263.0,1.25
2025-04-15,WIN,WIN Metals Ltd,Materials,7975842.35,550058093.0,0.014,0.0145,100992.0,3.57
2025-04-15,RAU,Resouro Strategic Metals Inc,Materials,7968185.8,41937820.0,0.19,0.19,9595.0,0.0
2025-04-15,AVM,Advance Metals Ltd,Materials,7919288.86,214034834.0,0.041,0.037,1504092.0,-9.76
2025-04-15,PRS,Prospech Ltd,Materials,7891821.29,328825887.0,0.024,0.024,0.0,0.0
2025-04-15,PGO,Pacgold Ltd,Materials,7887260.28,131454338.0,0.062,0.06,1147685.0,-3.23
2025-04-15,LAT,Latitude 66 Ltd,Materials,7887038.78,143400705.0,0.04,0.055,90178.0,37.5
2025-04-15,AYT,Austin Metals Ltd,Materials,7870956.75,1574191349.0,0.005,0.005,0.0,0.0
2025-04-15,RR1,Reach Resources Ltd,Materials,7869882.14,874431349.0,0.01,0.009,406000.0,-10.0
2025-04-15,WSI,Weststar Industrial Ltd,Materials,7854679.58,128765239.0,0.061,0.061,0.0,0.0
2025-04-15,GRE,Greentech Metals Ltd,Materials,7849973.25,112142475.0,0.073,0.07,42522.0,-4.11
