File Name,codes
20250526/02950126.txt,['06012']
20250526/02950127.txt,"['06003', '09014']"
20250526/02950128.txt,['06013']
20250526/02950129.txt,['11001']
20250526/02950130.txt,['03016']
20250526/02950131.txt,['12008']
20250526/02950132.txt,['11001']
20250526/02950133.txt,['06020']
20250526/02950134.txt,['02001']
20250526/02950135.txt,['03003']
20250526/02950136.txt,"['03026', '03003']"
20250526/02950137.txt,['11001']
20250526/02950138.txt,"['06008', '06009']"
20250526/02950139.txt,['06018']
20250526/02950140.txt,['09007']
20250526/02950141.txt,['06012']
20250526/02950142.txt,"['03027', '14014']"
20250526/02950143.txt,['03016']
20250526/02950144.txt,['06012']
20250526/02950145.txt,['06027']
20250526/02950146.txt,['03016']
20250526/02950147.txt,['09007']
20250526/02950148.txt,['11001']
20250526/02950149.txt,['06012']
20250526/02950150.txt,['06012']
20250526/02950151.txt,['03016']
20250526/02950152.txt,['11001']
20250526/02950153.txt,['11001']
20250526/02950154.txt,['09007']
20250526/02950155.txt,['03016']
20250526/02950156.txt,['06012']
20250526/02950157.txt,['11001']
20250526/02950158.txt,['11001']
20250526/02950159.txt,"['12017', '12001']"
20250526/02950160.txt,['06022']
20250526/02950161.txt,['09007']
20250526/02950162.txt,['03026']
20250526/02950163.txt,['11001']
20250526/02950164.txt,['11001']
20250526/02950165.txt,['03016']
20250526/02950166.txt,['03016']
20250526/02950167.txt,['06012']
20250526/02950168.txt,"['14014', '11001']"
20250526/02950169.txt,['11001']
20250526/02950170.txt,['06013']
20250526/02950171.txt,['11001']
20250526/02950172.txt,['09007']
20250526/02950173.txt,['03028']
20250526/02950174.txt,['11001']
20250526/02950175.txt,['11001']
20250526/02950176.txt,['06012']
20250526/02950177.txt,['11001']
20250526/02950178.txt,['09007']
20250526/02950179.txt,['06012']
20250526/02950180.txt,['06021']
20250526/02950181.txt,['09007']
20250526/02950182.txt,['09007']
20250526/02950183.txt,"['06008', '06010']"
20250526/02950184.txt,['02009']
20250526/02950185.txt,['11001']
20250526/02950186.txt,['11001']
20250526/02950187.txt,['02002']
20250526/02950188.txt,['06027']
20250526/02950189.txt,['11001']
20250526/02950190.txt,"['06009', '06010']"
20250526/02950191.txt,['12001']
20250526/02950192.txt,['02008']
20250526/02950193.txt,['03014']
20250526/02950194.txt,['09007']
20250526/02950195.txt,['02009']
20250526/02950196.txt,['06008']
20250526/02950197.txt,['06011']
20250526/02950198.txt,"['06003', '06018']"
20250526/02950199.txt,"['06008', '16002']"
20250526/02950200.txt,"['06003', '09014']"
20250526/02950201.txt,['03026']
20250526/02950202.txt,['06013']
20250526/02950203.txt,['06013']
20250526/02950204.txt,['06013']
20250526/02950205.txt,['11001']
20250526/02950206.txt,['11001']
20250526/02950207.txt,['06011']
20250526/02950208.txt,"['03014', '11001']"
20250526/02950209.txt,['11004']
20250526/02950210.txt,['15002']
20250526/02950211.txt,['09005']
20250526/02950212.txt,"['03026', '15002']"
20250526/02950213.txt,['11001']
20250526/02950214.txt,['14001']
20250526/02950215.txt,['09005']
20250526/02950216.txt,['11001']
20250526/02950217.txt,['02009']
20250526/02950218.txt,['11004']
20250526/02950219.txt,['17003']
20250526/02950220.txt,['02009']
20250526/02950221.txt,['02009']
20250526/02950222.txt,['14014']
20250526/02950223.txt,['09007']
20250526/02950224.txt,['11001']
20250526/02950225.txt,['17003']
20250526/02950226.txt,['06008']
20250526/02950227.txt,"['06008', '16001']"
20250526/02950228.txt,"['10007', '10008', '10009']"
20250526/02950229.txt,['06012']
