ticker,snapshot_date,market_cap,beta,open_price,high,low,close_price,adjusted_close,volume,ema_50d,ema_200d,hi_250d,lo_250d,avgvol_14d,avgvol_50d,avgvol_200d
VNT,2025-05-07,4131987712,0.331,4.45,4.51,4.42,4.49,4.49,2224412,4.131,4.0,4.631,3.246,2805510.0,2729610.0,2347900.0
VNT,2025-05-08,4131987712,0.331,4.51,4.63,4.5,4.57,4.57,2167434,4.148,4.007,4.631,3.246,2734070.0,2725950.0,2353810.0
VNT,2025-05-09,4131987712,0.331,4.58,4.66,4.55,4.64,4.64,2286551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOR,2025-05-05,6925997568,0.761,12.3,12.33,11.89,12.04,12.04,2909214,13.182,13.931,15.295,11.42,2412740.0,2393490.0,1850170.0
WOR,2025-05-06,6925997568,0.761,12.03,12.08,11.84,11.96,11.96,1760586,13.134,13.911,15.295,11.42,2241700.0,2403940.0,1848910.0
WOR,2025-05-07,6925997568,0.761,12.03,12.19,11.95,12.05,12.05,3756889,13.091,13.893,15.295,11.42,2277750.0,2453010.0,1862100.0
WOR,2025-05-08,6925997568,0.761,12.17,12.47,12.115,12.44,12.44,2287761,13.066,13.878,15.295,11.42,2307280.0,2441960.0,1867850.0
WOR,2025-05-09,6925997568,0.761,12.46,12.66,12.435,12.57,12.57,1175149,13.046,13.865,15.295,11.42,2232290.0,2425490.0,1787560.0
XRF,2025-05-05,222046880,0.62,1.53,1.545,1.49,1.495,1.495,202506,1.712,1.668,2.15,1.188,495332.0,367486.0,262076.0
XRF,2025-05-06,222046880,0.62,1.51,1.52,1.495,1.51,1.51,99702,1.704,1.666,2.15,1.188,490099.0,356586.0,262051.0
XRF,2025-05-07,222046880,0.62,1.51,1.55,1.485,1.54,1.54,152206,1.698,1.665,2.15,1.188,481253.0,353923.0,261619.0
XRF,2025-05-08,222046880,0.62,1.55,1.55,1.5,1.54,1.54,141226,1.692,1.664,2.15,1.188,445944.0,349375.0,261709.0
XRF,2025-05-09,222046880,0.62,1.53,1.57,1.525,1.53,1.53,137998,1.685,1.645,2.15,1.188,406111.0,349093.0,259362.0
ZGL,2025-05-05,19524960,0.407,0.076,0.076,0.075,0.075,0.075,106100,0.075,0.069,0.09,0.047,68194.9,37111.5,24118.7
ZGL,2025-05-06,19524960,0.407,0.077,0.077,0.077,0.077,0.077,26,0.075,0.069,0.09,0.047,68196.8,37112.0,23447.6
ZGL,2025-05-07,19524960,0.407,0.077,0.077,0.077,0.077,0.077,0,0.075,0.069,0.09,0.047,68196.8,35112.0,23087.4
ZGL,2025-05-08,19524960,0.407,0.075,0.075,0.075,0.075,0.075,66709,0.075,0.069,0.09,0.047,72961.7,36446.2,23311.2
ZGL,2025-05-09,19524960,0.407,0.075,0.075,0.075,0.075,0.075,23291,0.075,0.07,0.09,0.047,74625.4,36912.0,23427.7
