document_id,shareholder_name,event_date,present_votes,present_power,number_of_securities,ticker,event_type,previous_votes,previous_power,present_votes_affected,number_of_securities_affected
2024052402810567,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN ANNEXURES TO THIS FORM,2024-05-24,32701055.0,6.2,,WOR,change,26716897.0,5.06,,
2024052902811562,BLACKROCK GROUP,2024-05-29,43126842.0,5.04,43126842.0,VNT,new,,,,
2024060402813927,BLACK DIAMOND,2024-06-04,116000000.0,3715.0,,EHL,change,108000000.0,345.0,,
2024060402813841,CUMULUS WEALTH,2024-06-04,257496960.0,10.3,,BPP,change,227669400.0,9.17,,
2024061202816678,EACH OF THE PARTIES SET OUT IN ITEM 7,2024-06-12,1451382.0,5.01,1451382.0,ECL,new,,,,
2024061302816749,COMET RESOURCES LIMITED,2024-06-13,32776319.0,16.93,,IG6,change,40000000.0,24.22,,
2024061402817473,ANDREW MICHAEL CLAYTON SALES,2024-06-14,33207707.0,8.92,,AL3,change,32499850.0,13.8,,
2024061402817629,STATE STREET CORPORATION AND SUBSIDIARIES,2024-06-14,26941336.0,5.11,,WOR,change,32701243.0,6.2,,
2024061702818028,JES INVESTMENT TRUST,2024-06-17,5777961.0,5.01,5777961.0,SGI,new,,,,
2024061702818099,MICHAEL REGINALD DOUST,2024-06-17,8666942.0,7.51,8666942.0,SGI,new,,,,
2024062102819810,ROBERT WILLIAM BENTLEY MORRISON,2024-06-21,47161034.0,5.04,47161034.0,IFT,new,,,,
2024062702821461,MACQUARIE GROUP LIMITED,2024-06-27,7841219.0,5.37,7841219.0,OEC,new,,,,
2024070302824082,MATTHEW JINKS MASSY PTY LTD JIREB PTY LTD KRISTIE JINKS LISA JINKS JINKS FAMILY GROUP,2024-07-03,23936598.0,21.41,23936598.0,SKS,new,,,,
2024070302823971,DIMENSIONAL ENTITIES,2024-07-03,,,,SSM,new,,,,
2024070402824644,PAUL TORRANCE,2024-07-04,141466003.0,49.36,141466003.0,AAL,new,,,,
2024070502825444,SALTER BROTHERS EMERGING COMPANIES LIMITED,2024-07-05,22850000.0,7.9,22850000.0,AAL,new,,,,
2024071102827138,SUPERMANUATION AND INVESTMENTS HOLDCO PTY LTD,2024-07-11,12187880.0,834.0,,OEC,change,13025631.0,939.0,,
2024071202827309,AUSTRALIAN MEAT INDUSTRY SUPERANNUATION PTY LTD AS TRUSTEE FOR AUSTRALIAN MEAT INDUSTRY SUPERANNUATION TRUST,2024-07-12,27633000.0,19.87,27633000.0,DDB,new,,,,
2024071802829331,GOLDFIRE ENTERPRISES PTY LTD,2024-07-18,18834847.0,13.54,,DDB,change,21421372.0,15.92,,
2024071802829348,DAVID MATTHEW KINNERSLEY,2024-07-18,8524500.0,6.13,,DDB,change,16250000.0,13.78,,
2024072302830537,COLLINS ST ASSET MANAGEMENT ATF COLLINS ST VALUE FUND,2024-07-23,64054743.0,15.28,,BOL,change,60054743.0,14.2,,
2024072402831014,SUPERMANUATION AND INVESTMENTS HOLDIC,2024-07-24,10269805.0,703.0,,OEC,change,12187880.0,834.0,,
2024072902832461,SCHRODER INVESTMENT MANAGEMENT AUSTRALIA LIMITED,2024-07-29,40247189.0,5.14,40247189.0,FBU,new,,,,
2024080102834730,CLEAR PORT AUS PTY LTD,2024-08-01,11731751.0,5.53,11731751.0,OLH,new,,,,
2024080102834665,WILLIAM LEWIS TIMMS AND CAROLYN JANE TIMMS,2024-08-01,39284528.0,18.53,,OLH,change,39348428.0,19.72,,
2024080502835598,HARVEST LANE ASSET MANAGEMENT PTY LTD,2024-08-05,7148223.0,5.14,7148223.0,DDB,new,,,,
2024080602836034,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN PARAGRAPH 7 TO THIS FORM,2024-08-06,39525794.0,5.03,39525794.0,RWC,new,,,,
2024080702836368,SEE ANNEXURE A,2024-08-07,17918723.0,5.5,,HNG,change,24446578.0,9.0,,
2024081202837758,HARVEST LANE ASSET MANAGEMENT AND ITS ASSOCIATED ENTITIES,2024-08-12,22313787.0,16.05,,DDB,change,20643074.0,14.85,,
2024081402838442,AUSTRALIAN MEAT INDUSTRY SUPERANNUATION PTY LTD,2024-08-14,87099903.0,62.643,,DDB,change,85686897.0,61.62,,
2024082002840718,STATE STREET CORPORATION,2024-08-20,26501854.0,5.04,,WOR,change,32339128.0,6.14,,
2024082302842664,THORNEY OPPORTUNITIES LTD,2024-08-23,38035965.0,14.45,,SXE,change,41200100.0,15.66,,
2024082302842665,TIGA TRADING PTY LTD,2024-08-23,38035965.0,14.45,,SXE,change,41200010.0,15.66,,
2024082602843360,DENISE RICHARDSON,2024-08-26,32535382.0,8.71,,EGL,change,38016832.0,10.38,,
2024082602843400,WILSON ASSET MANAGEMENT GROUP,2024-08-26,39116641.0,6.35,,SSM,change,31971847.0,5.19,,
2024090202847833,M&G INVESTMENTS (SINGAPORE) PTE. LTD.,2024-09-02,481927803.0,10.06,481927803.0,FBR,new,,,,
2024090302848279,PERPETUAL LIMITED AND ITS RELATED BODIES CORPORATE,2024-09-03,4978520.0,9.026,,MXI,change,6935313.0,12.57,,
2024090502849317,EGP CAPITAL PTY LTD/EGP CONCENTRATED VALUE FUND,2024-09-05,7370000.0,6.38,,SGI,change,7380000.0,7.4,,
2024090602850000,NARELLE EDMUNDS,2024-09-06,6645818.0,5.76,,SGI,change,8586522.0,7.44,,
2024091002850748,MOHAMED YOOSUFF AND MARY YOOSUFF,2024-09-10,10284704.0,9.95,,IPG,change,11284704.0,10.92,,
2024091002850782,DAVID SINGLETON AND JILL SINGLETON,2024-09-10,32827908.0,5.3028,32827908.0,ANG,new,,,,
2024091002850720,AUSTRALIAN MEAT INDUSTRY SUPERANNUATION PTY LTD AS TRUSTEE FOR AMIST,2024-09-10,141687376.0,98.979,,DDB,change,119138045.0,83.227,,
2024091202852120,THORNEY INTERNATIONAL PTY LTD,2024-09-12,119666843.0,19.33,,ANG,change,121419194.0,20.7,,
2024091202852119,THORNEY OPPORTUNITIES LTD,2024-09-12,119666843.0,19.33,,ANG,change,121419194.0,20.7,,
2024091302852151,JAMES FINBARR FITZGERALD AND OLIVE THERESA FITZGERALD AS TRUSTEES FOR THE JF AND OT FITZGERALD FAMILY TRUST,2024-09-13,97720806.0,19.25,97720806.0,CVL,new,,,,
2024091302852150,PATRICK JOHN TALLON AND ASSOCIATES,2024-09-13,97620806.0,19.23,97620806.0,CVL,new,,,,
2024091902854631,JALIE 2 PTY LTD <JALIE 2 A/C>,2024-09-19,28403913.0,7.46,,EGL,change,20337247.0,6.3,,
