ticker,shareholder_name,event_date,source,Latest_Holdings,Latest_Percentage
MXI,NAOS SUBSTANTIAL HOLDERS,23/04/2025,change,12063061,21.76
MXI,SPHERIA ASSET MANAGEMENT PTY LTD,25/02/2025,change,5856894,10.59
MXI,TELSTRA SUPER PTY LTD AS TRUSTEE FOR TELSTRA SUPERANNUATION SCHEME,24/02/2025,change,3662463,6.62
MXI,PERPETUAL LIMITED AND ITS RELATED BODIES CORPORATE,3/09/2024,change,4978520,9.026
NWH,[STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN PARAGRAPH 4 TO THIS FORM,22/10/2024,cease,,
NWH,VANGUARD GROUP,13/03/2025,change,28251449,6.179
NWH,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN PARAGRAPH 7 TO THIS FORM,7/11/2024,new,22950074,5.02
NWH,AUSTRALIAN RETIREMENT TRUST PTY LTD ATF AUSTRALIAN RETIREMENT TRUST,28/03/2025,new,22995770,5.03
NWH,STATE STREET CORPORATION,23/01/2025,change,27710280,6.06
OEC,COMMONWEALTH BANK OF AUSTRALIA,26/11/2024,change,8758942,6
OEC,[SUPPERANNUATION AND INVESTMENTS HOLDCO PTY LTD,17/12/2024,cease,,
OEC,BONEYARD INVESTMENTS PTY LTD,17/12/2024,change,28439941,17.36
OEC,UIL LIMITED,16/12/2024,change,54312449,33.05
OEC,FIRST SENTIER INVESTORS HOLDINGS PTY LIMITED AND ITS RELATED BODIES CORPORATE OR ASSOCIATES LISTED IN ANNEXURE A,19/06/2024,cease,,
OEC,MITSUBISHI UFJ FINANCIAL GROUP INC,20/06/2024,cease,,
OEC,COMMONWEALTH BANK OF AUSTRALIA ACN 123 123 124 (CBA) AND ITS RELATED BODIES CORPORATE LISTED IN ANNEXURE A,16/12/2024,cease,,
OEC,MACQUARIE GROUP LIMITED MQG,25/07/2024,cease,,
OLH,CLEAR PORT AUS PTY LTD,1/08/2024,new,11731751,5.53
OLH,WILLIAM LEWIS TIMMS AND CAROLYN JANE TIMMS,1/08/2024,change,39284528,18.53
RDX,PERPETUAL LIMITED AND ITS RELATED BODIES CORPORATE,17/06/2024,cease,,
RDX,CLAUDIA WALTERS,6/02/2024,new,41869854,7.97
RDX,FIL LIMITED,6/03/2025,change,33745059,6.43
RDX,SILVIA CONELIANO,5/02/2024,cease,,
REM,VALRICH SUPERANNUATION PTY LTD,16/05/2024,change,28499153,17.28
REM,OMNIVEST PTY LTD ATF THE CLEGG SUPERANNUATION FUND,28/02/2024,change,7888786,6.13
REM,ADRIAN JOHN HOLLIS,28/02/2024,change,13408422,10.42
REM,JON EDWARDS,12/03/2024,change,12500000,8.34
RWC,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN PARAGRAPH 6 TO THIS FORM,11/11/2024,change,47114867,6.04
RWC,FIL LIMITED,27/02/2024,new,43508324,5.51
RWC,AUSTRALIANSUPER PTY LTD,17/10/2024,change,85356679,10.94
RWC,YARRA CAPITAL MANAGEMENT LIMITED,30/04/2025,cease,,
SGI,EGP CAPITAL PTY LTD/EGP CONCENTRATED VALUE FUND,18/11/2024,cease,,
SGI,NARELLE EDMUNDS,23/01/2025,cease,,
SGI,JES INVESTMENT TRUST,17/06/2024,new,5777961,5.01
SGI,MICHAEL REGINALD DOUST,17/06/2024,new,8666942,7.51
SHA,JOSEPHINE HYNES,5/11/2024,cease,,
SHA,STEPHEN MCDONALD,10/12/2024,change,4815864,5.77
SHA,GERARD MCMAHON,6/12/2024,change,7298115,8.74
SHA,MICHAEL VAN LEEUWEN,2/10/2024,change,12500126,14.97
SHA,TIM CAMPBELL,16/10/2024,change,3980352,4.77
SHA,JOHN DARRYL DRAYTON,26/11/2024,change,10121984,12.12
