,Ticker,Company,Sector
183,ATP,ATLAS PEARLS LTD,Consumer Durables & Apparel
184,AT1,ATOMO DIAGNOSTICS LIMITED,Health Care Equipment & Services
185,AMS,ATOMOS LIMITED,Consumer Durables & Apparel
186,ATA,ATTURRA LIMITED,Software & Services
187,AUB,AUB GROUP LIMITED,Insurance
188,AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,Transportation
189,CYB,AUCYBER LIMITED,Software & Services
190,ACP,AUDALIA RESOURCES LIMITED,Materials
191,AUA,AUDEARA LIMITED,Consumer Durables & Apparel
192,AD8,AUDINATE GROUP LIMITED,Technology Hardware & Equipment
193,AKP,AUDIO PIXELS HOLDINGS LIMITED,Consumer Durables & Apparel
194,AUG,AUGUSTUS MINERALS LIMITED,Materials
195,AKN,AUKING MINING LIMITED,Materials
196,AUK,AUMAKE LIMITED.,Consumer Discretionary Distribution & Retail
197,AAM,AUMEGA METALS LTD,Materials
198,AEE,AURA ENERGY LIMITED,Energy
199,AKA,AUREKA LIMITED,Materials
200,AMI,AURELIA METALS LIMITED,Materials
201,AWJ,AURIC MINING LIMITED,Materials
202,AUR,AURIS MINERALS LIMITED,Materials
203,AZJ,AURIZON HOLDINGS LIMITED,Transportation
204,1AE,AURORA ENERGY METALS LIMITED,Materials
205,A3D,AURORA LABS LIMITED,Capital Goods
206,AUE,AURUM RESOURCES LIMITED,Materials
207,AUN,AURUMIN LIMITED,Materials
208,AUC,AUSGOLD LIMITED,Materials
209,AOA,AUSMON RESOURCES LIMITED,Materials
210,ANV,AUSNET SERVICES HOLDINGS PTY LTD,Not Applic
211,AQD,AUSQUEST LIMITED,Materials
212,ABB,AUSSIE BROADBAND LIMITED,Telecommunication Services
213,ASB,AUSTAL LIMITED,Capital Goods
214,AUH,AUSTCHINA HOLDINGS LIMITED,Energy
215,AHC,AUSTCO HEALTHCARE LIMITED,Health Care Equipment & Services
216,ANG,AUSTIN ENGINEERING LIMITED,Capital Goods
217,AYT,AUSTIN METALS LIMITED,Materials
218,AGD,AUSTRAL GOLD LIMITED,Materials
219,AR1,AUSTRAL RESOURCES AUSTRALIA LTD,Materials
220,A8G,AUSTRALASIAN METALS LIMITED,Materials
221,AN3,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED.,Not Applic
222,AYM,AUSTRALIA UNITED MINING LIMITED,Materials
223,AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,"Food, Beverage & Tobacco"
224,AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,"Food, Beverage & Tobacco"
225,ABE,AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED,Financial Services
226,ACL,AUSTRALIAN CLINICAL LABS LIMITED,Health Care Equipment & Services
227,XCL,AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS,Not Applic
228,ACM,AUSTRALIAN CRITICAL MINERALS LIMITED,Materials
229,AHF,AUSTRALIAN DAIRY NUTRITIONALS LIMITED,"Food, Beverage & Tobacco"
230,AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED,Financial Services
231,AFG,AUSTRALIAN FINANCE GROUP LTD,Financial Services
232,AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,Not Applic
233,AGC,AUSTRALIAN GOLD AND COPPER LTD,Materials
234,AUZ,AUSTRALIAN MINES LIMITED,Materials
235,AOK,AUSTRALIAN OIL COMPANY LIMITED.,Energy
236,AQC,AUSTRALIAN PACIFIC COAL LIMITED,Materials
237,AR3,AUSTRALIAN RARE EARTHS LIMITED,Materials
